season,team_id,player_id,player_name,role_in_squad,is_overseas
2026,IPL_T20_SRH,PLY_0014,Abhishek Sharma,Allrounder,0
2026,IPL_T20_SRH,PLY_0762,Brydon Carse,Allrounder,1
2026,IPL_T20_SRH,PLY_0763,Harsh Dubey,Allrounder,0
2026,IPL_T20_SRH,PLY_0764,Krains Fuletra,Allrounder,0
2026,IPL_T20_SRH,PLY_0324,Liam Livingstone,Allrounder,1
2026,IPL_T20_SRH,PLY_0283,Kamindu Mendis,Allrounder,1
2026,IPL_T20_SRH,PLY_0417,Nitish Kumar Reddy,Allrounder,0
2026,IPL_T20_SRH,PLY_0222,Harshal Patel,Allrounder,0
2026,IPL_T20_SRH,PLY_0566,Shivam Mavi,Allrounder,0
2026,IPL_T20_SRH,PLY_0765,Shivang Kumar,Allrounder,0
2026,IPL_T20_SRH,PLY_0601,Sumit Kumar,Bowler,0
2026,IPL_T20_SRH,PLY_0432,Pat Cummins,Bowler,1
2026,IPL_T20_SRH,PLY_0766,Praful Hinge,Bowler,0
2026,IPL_T20_SRH,PLY_0767,Eshan Malinga,Bowler,1
2026,IPL_T20_SRH,PLY_0768,David Payne,Bowler,1
2026,IPL_T20_SRH,PLY_0769,Sakib Hussain,Bowler,0
2026,IPL_T20_SRH,PLY_0770,Onkar Tarmale,Bowler,0
2026,IPL_T20_SRH,PLY_0259,Jaydev Unadkat,Bowler,0
2026,IPL_T20_SRH,PLY_0771,Zeeshan Ansari,Bowler,0
2025,IPL_T20_CSK,PLY_0334,MS Dhoni,Wicketkeeper Batter,0
2025,IPL_T20_CSK,PLY_0695,Kartik Sharma,Batter,0
2025,IPL_T20_CSK,PLY_0168,Dewald Brevis,Middle order Batter,1
2025,IPL_T20_CSK,PLY_0166,Devon Conway,Wicketkeeper Batter,1
2025,IPL_T20_CSK,PLY_0091,Ayush Mhatre,Top order Batter,0
2025,IPL_T20_CSK,PLY_0647,Urvil Patel,Wicketkeeper Batter,0
2025,IPL_T20_CSK,PLY_0546,Shaik Rasheed,Batter,0
2025,IPL_T20_CSK,PLY_0467,Rahul Tripathi,Top order Batter,0
2025,IPL_T20_CSK,PLY_0565,Shivam Dube,Allrounder,0
2025,IPL_T20_CSK,PLY_0696,Zak Foulkes,Bowling Allrounder,0
2025,IPL_T20_CSK,PLY_0164,Deepak Hooda,Allrounder,0
2025,IPL_T20_CSK,PLY_0485,Ravindra Jadeja,Allrounder,0
2025,IPL_T20_CSK,PLY_0067,Anshul Kamboj,Bowling Allrounder,0
2025,IPL_T20_CSK,PLY_0658,Vijay Shankar,Allrounder,0
2025,IPL_T20_CSK,PLY_0301,Khaleel Ahmed,Bowler,0
2025,IPL_T20_CSK,PLY_0392,Mukesh Choudhary,Bowler,0
2025,IPL_T20_CSK,PLY_0639,Tushar Deshpande,Bowler,0
2025,IPL_T20_CSK,PLY_0484,Ravichandran Ashwin,Bowler,0
2025,IPL_T20_CSK,PLY_0419,Noor Ahmad,Bowler,1
2025,IPL_T20_CSK,PLY_0697,Ramakrishna Ghosh,Bowler,1
2025,IPL_T20_DC,PLY_0196,Faf du Plessis,Middle order Batter,1
2025,IPL_T20_DC,PLY_0015,Abishek Porel,Wicketkeeper Batter,0
2025,IPL_T20_DC,PLY_0280,KL Rahul,Batter,0
2025,IPL_T20_DC,PLY_0294,Karun Nair,Batter,0
2025,IPL_T20_DC,PLY_0539,Sediqullah Atal,Batter,1
2025,IPL_T20_DC,PLY_0638,Tristan Stubbs,Batter,1
2025,IPL_T20_DC,PLY_0089,Axar Patel,Allrounder,0
2025,IPL_T20_DC,PLY_0698,Prashant Veer,Allrounder,0
2025,IPL_T20_DC,PLY_0699,Gurjapneet Singh,Allrounder,0
2025,IPL_T20_DC,PLY_0525,Sameer Rizvi,Allrounder,0
2025,IPL_T20_DC,PLY_0086,Ashutosh Sharma,Allrounder,0
2025,IPL_T20_DC,PLY_0335,Madhav Tiwari,Allrounder,0
2025,IPL_T20_DC,PLY_0186,Dushmantha Chameera,Bowler,1
2025,IPL_T20_DC,PLY_0306,Kuldeep Yadav,Bowler,0
2025,IPL_T20_DC,PLY_0393,Mukesh Kumar,Bowler,0
2025,IPL_T20_DC,PLY_0399,Mustafizur Rahman,Bowler,1
2025,IPL_T20_DC,PLY_0152,Darshan Nalkande,Bowler,0
2025,IPL_T20_DC,PLY_0616,T Natarajan,Bowler,0
2025,IPL_T20_DC,PLY_0665,Vipraj Nigam,Bowler,0
2025,IPL_T20_DC,PLY_0386,Mohit Sharma,Bowler,0
2025,IPL_T20_DC,PLY_0700,Matt Henry,Bowler,0
2025,IPL_T20_GT,PLY_0580,Shubman Gill,Top order Batter,0
2025,IPL_T20_GT,PLY_0068,Anuj Rawat,Wicketkeeper Batter,0
2025,IPL_T20_GT,PLY_0309,Kumar Kushagra,Wicketkeeper Batter,0
2025,IPL_T20_GT,PLY_0311,Kusal Mendis,Wicketkeeper Batter,1
2025,IPL_T20_GT,PLY_0562,Sherfane Rutherford,Middle order Batter,1
