match_id,season,date,venue_id,team1_id,team2_id,toss_winner_id,toss_decision,first_innings_score,first_innings_wickets,match_stage
IPL2023_MAT_01,2023,31-03-2023,IPL_VEN_17,IPL_T20_CSK,IPL_T20_GT,IPL_T20_GT,Field,178,7,League
IPL2023_MAT_02,2023,1/4/2023,IPL_VEN_18,IPL_T20_PBKS,IPL_T20_KKR,IPL_T20_KKR,Field,191,5,League
IPL2023_MAT_03,2023,1/4/2023,IPL_VEN_08,IPL_T20_LSG,IPL_T20_DC,IPL_T20_DC,Field,193,6,League
IPL2023_MAT_04,2023,2/4/2023,IPL_VEN_19,IPL_T20_RR,IPL_T20_SRH,IPL_T20_SRH,Field,203,5,League
IPL2023_MAT_05,2023,2/4/2023,IPL_VEN_13,IPL_T20_MI,IPL_T20_RCB,IPL_T20_RCB,Field,171,7,League
IPL2023_MAT_06,2023,3/4/2023,IPL_VEN_14,IPL_T20_CSK,IPL_T20_LSG,IPL_T20_LSG,Field,217,7,League
IPL2023_MAT_07,2023,4/4/2023,IPL_VEN_02,IPL_T20_DC,IPL_T20_GT,IPL_T20_GT,Field,162,8,League
IPL2023_MAT_08,2023,5/4/2023,IPL_VEN_03,IPL_T20_PBKS,IPL_T20_RR,IPL_T20_RR,Field,197,4,League
IPL2023_MAT_09,2023,6/4/2023,IPL_VEN_07,IPL_T20_KKR,IPL_T20_RCB,IPL_T20_RCB,Field,204,7,League
IPL2023_MAT_10,2023,7/4/2023,IPL_VEN_08,IPL_T20_SRH,IPL_T20_LSG,IPL_T20_SRH,Bat,121,8,League
IPL2023_MAT_11,2023,8/4/2023,IPL_VEN_03,IPL_T20_RR,IPL_T20_DC,IPL_T20_DC,Field,199,4,League
IPL2023_MAT_12,2023,8/4/2023,IPL_VEN_25,IPL_T20_MI,IPL_T20_CSK,IPL_T20_CSK,Field,157,8,League
IPL2023_MAT_13,2023,9/4/2023,IPL_VEN_17,IPL_T20_GT,IPL_T20_KKR,IPL_T20_GT,Bat,204,4,League
IPL2023_MAT_14,2023,9/4/2023,IPL_VEN_19,IPL_T20_PBKS,IPL_T20_SRH,IPL_T20_SRH,Field,143,9,League
IPL2023_MAT_15,2023,10/4/2023,IPL_VEN_13,IPL_T20_RCB,IPL_T20_LSG,IPL_T20_LSG,Field,212,2,League
IPL2023_MAT_16,2023,11/4/2023,IPL_VEN_02,IPL_T20_DC,IPL_T20_MI,IPL_T20_MI,Field,172,10,League
IPL2023_MAT_17,2023,12/4/2023,IPL_VEN_14,IPL_T20_RR,IPL_T20_CSK,IPL_T20_CSK,Field,175,8,League
IPL2023_MAT_18,2023,13-04-2023,IPL_VEN_18,IPL_T20_PBKS,IPL_T20_GT,IPL_T20_GT,Field,153,8,League
IPL2023_MAT_19,2023,14-04-2023,IPL_VEN_07,IPL_T20_SRH,IPL_T20_KKR,IPL_T20_KKR,Field,228,4,League
IPL2023_MAT_20,2023,15-04-2023,IPL_VEN_13,IPL_T20_RCB,IPL_T20_DC,IPL_T20_DC,Field,174,6,League
IPL2023_MAT_21,2023,15-04-2023,IPL_VEN_08,IPL_T20_LSG,IPL_T20_PBKS,IPL_T20_PBKS,Field,159,8,League
IPL2023_MAT_22,2023,16-04-2023,IPL_VEN_25,IPL_T20_KKR,IPL_T20_MI,IPL_T20_MI,Field,185,6,League
IPL2023_MAT_23,2023,16-04-2023,IPL_VEN_17,IPL_T20_GT,IPL_T20_RR,IPL_T20_RR,Field,177,7,League
IPL2023_MAT_24,2023,17-04-2023,IPL_VEN_13,IPL_T20_CSK,IPL_T20_RCB,IPL_T20_RCB,Field,226,6,League
IPL2023_MAT_25,2023,18-04-2023,IPL_VEN_19,IPL_T20_MI,IPL_T20_SRH,IPL_T20_SRH,Field,192,5,League
IPL2023_MAT_26,2023,19-04-2023,IPL_VEN_21,IPL_T20_LSG,IPL_T20_RR,IPL_T20_RR,Field,154,7,League
IPL2023_MAT_27,2023,20-04-2023,IPL_VEN_18,IPL_T20_RCB,IPL_T20_PBKS,IPL_T20_PBKS,Field,174,4,League
IPL2023_MAT_28,2023,20-04-2023,IPL_VEN_02,IPL_T20_KKR,IPL_T20_DC,IPL_T20_DC,Field,127,10,League
IPL2023_MAT_29,2023,21-04-2023,IPL_VEN_14,IPL_T20_SRH,IPL_T20_CSK,IPL_T20_CSK,Field,134,7,League
IPL2023_MAT_30,2023,22-04-2023,IPL_VEN_08,IPL_T20_GT,IPL_T20_LSG,IPL_T20_GT,Bat,135,6,League
IPL2023_MAT_31,2023,22-04-2023,IPL_VEN_25,IPL_T20_PBKS,IPL_T20_MI,IPL_T20_MI,Field,214,8,League
IPL2023_MAT_32,2023,23-04-2023,IPL_VEN_13,IPL_T20_RCB,IPL_T20_RR,IPL_T20_RR,Field,189,9,League
IPL2023_MAT_33,2023,23-04-2023,IPL_VEN_07,IPL_T20_CSK,IPL_T20_KKR,IPL_T20_KKR,Field,235,4,League
IPL2023_MAT_34,2023,24-04-2023,IPL_VEN_19,IPL_T20_DC,IPL_T20_SRH,IPL_T20_DC,Bat,144,9,League
IPL2023_MAT_35,2023,25-04-2023,IPL_VEN_17,IPL_T20_GT,IPL_T20_MI,IPL_T20_MI,Field,207,6,League
IPL2023_MAT_36,2023,26-04-2023,IPL_VEN_13,IPL_T20_KKR,IPL_T20_RCB,IPL_T20_RCB,Field,200,5,League
IPL2023_MAT_37,2023,27-04-2023,IPL_VEN_21,IPL_T20_RR,IPL_T20_CSK,IPL_T20_RR,Bat,202,5,League
IPL2023_MAT_38,2023,28-04-2023,IPL_VEN_18,IPL_T20_LSG,IPL_T20_PBKS,IPL_T20_PBKS,Field,257,5,League
IPL2023_MAT_39,2023,29-04-2023,IPL_VEN_07,IPL_T20_KKR,IPL_T20_GT,IPL_T20_GT,Field,179,7,League
IPL2023_MAT_40,2023,29-04-2023,IPL_VEN_02,IPL_T20_SRH,IPL_T20_DC,IPL_T20_SRH,Bat,197,6,League
IPL2023_MAT_41,2023,30-04-2023,IPL_VEN_14,IPL_T20_CSK,IPL_T20_PBKS,IPL_T20_CSK,Bat,200,4,League
IPL2023_MAT_42,2023,30-04-2023,IPL_VEN_25,IPL_T20_RR,IPL_T20_MI,IPL_T20_RR,Bat,212,7,League
IPL2023_MAT_43,2023,1/5/2023,IPL_VEN_08,IPL_T20_RCB,IPL_T20_LSG,IPL_T20_RCB,Bat,126,9,League
IPL2023_MAT_44,2023,2/5/2023,IPL_VEN_17,IPL_T20_DC,IPL_T20_GT,IPL_T20_DC,Bat,130,8,League
IPL2023_MAT_45,2023,3/5/2023,IPL_VEN_08,IPL_T20_LSG,IPL_T20_CSK,IPL_T20_CSK,Field,125,7,League
IPL2023_MAT_46,2023,3/5/2023,IPL_VEN_18,IPL_T20_PBKS,IPL_T20_MI,IPL_T20_MI,Field,214,3,League
IPL2023_MAT_47,2023,4/5/2023,IPL_VEN_19,IPL_T20_KKR,IPL_T20_SRH,IPL_T20_KKR,Bat,171,9,League
IPL2023_MAT_48,2023,5/5/2023,IPL_VEN_21,IPL_T20_RR,IPL_T20_GT,IPL_T20_RR,Bat,118,10,League
IPL2023_MAT_49,2023,6/5/2023,IPL_VEN_14,IPL_T20_MI,IPL_T20_CSK,IPL_T20_CSK,Field,139,8,League
IPL2023_MAT_50,2023,6/5/2023,IPL_VEN_02,IPL_T20_RCB,IPL_T20_DC,IPL_T20_RCB,Bat,181,4,League
IPL2023_MAT_51,2023,7/5/2023,IPL_VEN_17,IPL_T20_GT,IPL_T20_LSG,IPL_T20_LSG,Field,227,2,League
IPL2023_MAT_52,2023,7/5/2023,IPL_VEN_21,IPL_T20_RR,IPL_T20_SRH,IPL_T20_RR,Bat,214,2,League
IPL2023_MAT_53,2023,8/5/2023,IPL_VEN_07,IPL_T20_PBKS,IPL_T20_KKR,IPL_T20_PBKS,Bat,179,7,League
IPL2023_MAT_54,2023,9/5/2023,IPL_VEN_25,IPL_T20_RCB,IPL_T20_MI,IPL_T20_MI,Field,199,6,League
IPL2023_MAT_55,2023,10/5/2023,IPL_VEN_14,IPL_T20_CSK,IPL_T20_DC,IPL_T20_CSK,Bat,167,8,League
IPL2023_MAT_56,2023,11/5/2023,IPL_VEN_07,IPL_T20_KKR,IPL_T20_RR,IPL_T20_RR,Field,149,8,League
IPL2023_MAT_57,2023,12/5/2023,IPL_VEN_25,IPL_T20_MI,IPL_T20_GT,IPL_T20_GT,Field,218,5,League
IPL2023_MAT_58,2023,13-05-2023,IPL_VEN_19,IPL_T20_SRH,IPL_T20_LSG,IPL_T20_SRH,Bat,182,6,League
IPL2023_MAT_59,2023,13-05-2023,IPL_VEN_02,IPL_T20_PBKS,IPL_T20_DC,IPL_T20_DC,Field,167,7,League
