player_id,player_role,opponent_team_id,matches,runs_scored,balls_faced,batting_average,batting_strike_rate,wickets_taken,overs_bowled,bowling_average,bowling_economy
PLY_0564,Batter,IPL_T20_LSG,4,78,55,26,141.82,,,,
PLY_0564,Batter,IPL_T20_MI,9,99,79,14.14,125.32,,,,
PLY_0564,Batter,IPL_T20_PBKS,9,204,119,34,171.43,,,,
PLY_0564,Batter,IPL_T20_RCB,12,235,159,33.57,147.8,,,,
PLY_0564,Batter,IPL_T20_RR,3,74,49,24.67,151.02,,,,
PLY_0564,Batter,IPL_T20_SRH,12,284,181,31.56,156.91,,,,
PLY_0565,Allrounder,IPL_T20_CSK,4,105,81,52.5,129.63,0,1.4,,10.2
PLY_0565,Allrounder,IPL_T20_DC,9,169,118,18.78,143.22,0,1,,5
PLY_0565,Allrounder,IPL_T20_GT,8,160,105,26.67,152.38,0,2,,16.5
PLY_0565,Allrounder,IPL_T20_KKR,8,245,186,40.83,131.72,0,4,,8.5
PLY_0565,Allrounder,IPL_T20_LSG,5,188,118,47,159.32,0,1,,25
PLY_0565,Allrounder,IPL_T20_MI,12,278,204,34.75,136.27,0,1,,6
PLY_0565,Allrounder,IPL_T20_PBKS,10,199,135,19.9,147.41,3,5,22.33,13.4
PLY_0565,Allrounder,IPL_T20_RCB,7,261,166,65.25,157.23,,,,
PLY_0565,Allrounder,IPL_T20_RR,5,135,95,27,142.11,0,1,,4
PLY_0565,Allrounder,IPL_T20_SRH,7,119,86,19.83,138.37,2,4,11,5.5
PLY_0566,Allrounder,IPL_T20_CSK,4,20,14,10,142.86,2,14.1,60,8.47
PLY_0566,Allrounder,IPL_T20_DC,5,1,6,1,16.67,3,14.1,54.67,11.58
PLY_0566,Allrounder,IPL_T20_GT,1,2,4,2,50,1,4,36,9
PLY_0566,Allrounder,IPL_T20_LSG,1,1,2,1,50,1,4,50,12.5
PLY_0566,Allrounder,IPL_T20_MI,2,9,10,9,90,3,7,18.67,8
PLY_0566,Allrounder,IPL_T20_PBKS,4,,,,,3,13,37.33,8.62
PLY_0566,Allrounder,IPL_T20_RCB,2,,,,,0,7.2,,7.77
PLY_0566,Allrounder,IPL_T20_RR,8,5,8,2.5,62.5,13,31.2,17.38,7.21
PLY_0566,Allrounder,IPL_T20_SRH,5,13,12,6.5,108.33,4,14.1,30.25,8.54
PLY_0567,Batter,IPL_T20_CSK,4,,,,,1,15.1,133,8.77
PLY_0567,Batter,IPL_T20_DC,2,,,,,1,8,47,5.88
PLY_0567,Batter,IPL_T20_GT,2,,,,,1,8,72,9
PLY_0567,Batter,IPL_T20_KKR,1,,,,,1,4,47,11.75
PLY_0567,Batter,IPL_T20_LSG,2,,,,,0,4,,12.75
PLY_0567,Batter,IPL_T20_MI,2,,,,,2,8,29.5,7.38
PLY_0567,Batter,IPL_T20_PBKS,5,,,,,6,16,18.83,7.06
PLY_0567,Batter,IPL_T20_RCB,3,,,,,5,10,18.6,9.3
PLY_0567,Batter,IPL_T20_RR,4,,,,,1,14,136,9.71
PLY_0567,Batter,IPL_T20_SRH,3,,,,,1,9,107,11.89
PLY_0568,Allrounder,IPL_T20_SRH,1,2,3,2,66.67,,,,
PLY_0569,Bowler,IPL_T20_DC,1,,,,,1,4,29,7.25
PLY_0569,Bowler,IPL_T20_KKR,2,,,,,0,5,,10.8
PLY_0569,Bowler,IPL_T20_PBKS,1,,,,,3,4,6.67,5
PLY_0569,Bowler,IPL_T20_RCB,2,0,1,0,0,0,6,,14.33
PLY_0569,Bowler,IPL_T20_RPS,1,,,,,0,3.1,,10.11
PLY_0569,Bowler,IPL_T20_SRH,3,,,,,2,12,38,6.33
PLY_0575,Batter,IPL_T20_CSK,2,17,14,8.5,121.43,,,,
PLY_0575,Batter,IPL_T20_DC,1,0,1,0,0,,,,
PLY_0575,Batter,IPL_T20_KKR,1,35,26,35,134.62,,,,
PLY_0575,Batter,IPL_T20_RCB,1,0,3,0,0,,,,
PLY_0576,Bowler,IPL_T20_CSK,6,27,20,27,135,6,20,22.5,6.75
PLY_0576,Bowler,IPL_T20_DC,6,29,32,9.67,90.62,7,19.1,26,9.5
PLY_0576,Bowler,IPL_T20_KKR,6,46,40,15.33,115,5,21,42,10
PLY_0576,Bowler,IPL_T20_MI,7,14,10,7,140,6,21,26.67,7.62
PLY_0576,Bowler,IPL_T20_PBKS,7,25,18,25,138.89,1,18,182,10.11
PLY_0576,Bowler,IPL_T20_RCB,8,7,4,7,175,15,28,12.53,6.71
PLY_0576,Bowler,IPL_T20_RPS,1,2,16,2,12.5,0,3,,6
PLY_0576,Bowler,IPL_T20_RR,1,1,1,1,100,1,2.1,23,10.62
PLY_0576,Bowler,IPL_T20_SRH,5,18,18,18,100,5,19,27.6,7.26
PLY_0577,Batter,IPL_T20_CSK,15,371,320,28.54,115.94,,,,
PLY_0577,Batter,IPL_T20_DC,5,200,138,50,144.93,0,1,,7
PLY_0577,Batter,IPL_T20_GL,2,110,65,110,169.23,,,,
PLY_0577,Batter,IPL_T20_GT,2,109,57,109,191.23,,,,
PLY_0577,Batter,IPL_T20_KKR,16,485,323,37.31,150.15,,,,
PLY_0577,Batter,IPL_T20_LSG,6,214,146,53.5,146.58,,,,
PLY_0577,Batter,IPL_T20_MI,20,501,391,33.4,128.13,,,,
PLY_0577,Batter,IPL_T20_PBKS,13,352,270,29.33,130.37,,,,
PLY_0577,Batter,IPL_T20_RCB,18,409,341,24.06,119.94,,,,
PLY_0577,Batter,IPL_T20_RPS,2,11,14,5.5,78.57,,,,
PLY_0577,Batter,IPL_T20_RR,13,406,304,31.23,133.55,,,,
PLY_0577,Batter,IPL_T20_SRH,19,567,431,40.5,131.55,,,,
PLY_0579,Batter,IPL_T20_CSK,1,0,1,0,0,,,,
PLY_0579,Batter,IPL_T20_DC,1,25,12,25,208.33,,,,
PLY_0579,Batter,IPL_T20_GT,1,1,3,1,33.33,,,,
PLY_0579,Batter,IPL_T20_KKR,2,34,26,34,130.77,,,,
PLY_0579,Batter,IPL_T20_LSG,1,3,3,3,100,,,,
PLY_0579,Batter,IPL_T20_MI,2,23,15,23,153.33,,,,
PLY_0579,Batter,IPL_T20_PBKS,1,7,7,7,100,,,,
PLY_0579,Batter,IPL_T20_RCB,1,12,7,12,171.43,,,,
PLY_0579,Batter,IPL_T20_SRH,1,34,11,34,309.09,,,,
PLY_0580,Batter,IPL_T20_CSK,16,465,327,31,142.2,,,,
PLY_0580,Batter,IPL_T20_DC,16,486,360,34.71,135,,,,
PLY_0580,Batter,IPL_T20_KKR,4,185,126,46.25,146.83,,,,
PLY_0580,Batter,IPL_T20_LSG,7,271,184,54.2,147.28,,,,
PLY_0580,Batter,IPL_T20_MI,15,522,369,34.8,141.46,,,,
PLY_0580,Batter,IPL_T20_PBKS,13,554,377,61.56,146.95,,,,
PLY_0580,Batter,IPL_T20_RCB,14,318,232,31.8,137.07,,,,
PLY_0580,Batter,IPL_T20_RR,15,530,406,44.17,130.54,,,,
PLY_0580,Batter,IPL_T20_SRH,14,535,406,53.5,131.77,,,,
PLY_0581,Bowler,IPL_T20_CSK,6,,,,,2,20.4,102,9.87
PLY_0581,Bowler,IPL_T20_DC,6,,,,,7,24,31.57,9.21
PLY_0581,Bowler,IPL_T20_GL,1,,,,,1,4,30,7.5
PLY_0581,Bowler,IPL_T20_GT,1,,,,,0,4,,10.75
PLY_0581,Bowler,IPL_T20_KKR,7,7,5,7,140,9,24.4,20.78,7.58
PLY_0581,Bowler,IPL_T20_MI,6,3,17,1,17.65,12,24.3,19.17,9.39
PLY_0581,Bowler,IPL_T20_PBKS,6,,,,,7,23.4,27,7.99
PLY_0581,Bowler,IPL_T20_RCB,4,1,1,1,100,4,15,27.25,7.27
PLY_0581,Bowler,IPL_T20_RPS,2,0,2,0,0,4,7,18.5,10.57
PLY_0581,Bowler,IPL_T20_RR,5,,,,,6,20.1,26,7.74
PLY_0584,Batter,IPL_T20_PBKS,1,15,13,15,115.38,,,,
PLY_0585,Allrounder,IPL_T20_CSK,1,13,7,13,185.71,1,3,31,10.33
PLY_0585,Allrounder,IPL_T20_DC,1,11,7,11,157.14,0,1,,3
PLY_0585,Allrounder,IPL_T20_GT,1,15,16,15,93.75,0,2,,11
PLY_0585,Allrounder,IPL_T20_KKR,1,16,13,16,123.08,1,3,25,8.33
PLY_0585,Allrounder,IPL_T20_LSG,2,93,63,46.5,147.62,1,3.1,36,11.37
PLY_0585,Allrounder,IPL_T20_RR,1,1,2,1,50,0,2,,12
PLY_0585,Allrounder,IPL_T20_SRH,2,33,28,16.5,117.86,,,,
PLY_0586,Bowler,IPL_T20_DC,1,,,,,2,4,13.5,6.75
PLY_0586,Bowler,IPL_T20_GT,3,0,2,0,0,0,8,,13.25
PLY_0586,Bowler,IPL_T20_KKR,1,0,1,0,0,0,4,,11.75
PLY_0586,Bowler,IPL_T20_LSG,1,3,4,3,75,0,2,,14
PLY_0586,Bowler,IPL_T20_MI,1,2,3,2,66.67,1,4,22,5.5
PLY_0586,Bowler,IPL_T20_PBKS,1,,,,,2,3,8,5.33
PLY_0586,Bowler,IPL_T20_RCB,2,2,2,2,100,0,3,,13.33
PLY_0586,Bowler,IPL_T20_RR,3,3,3,3,100,6,10.1,15,8.85
PLY_0586,Bowler,IPL_T20_SRH,1,,,,,0,2.1,,11.08
PLY_0591,Bowler,IPL_T20_CSK,1,5,5,5,100,1,4,35,8.75
PLY_0591,Bowler,IPL_T20_DC,1,1,1,1,100,1,2,22,11
PLY_0591,Bowler,IPL_T20_LSG,2,0,1,0,0,0,7,,11.14
PLY_0591,Bowler,IPL_T20_MI,2,1,3,1,33.33,2,4,19.5,9.75
PLY_0591,Bowler,IPL_T20_RCB,1,1,1,1,100,0,2.2,,13.29
PLY_0591,Bowler,IPL_T20_RR,2,,,,,1,8,79,9.88
PLY_0592,Bowler,IPL_T20_CSK,1,0,1,0,0,1,4,25,6.25
PLY_0592,Bowler,IPL_T20_DC,2,,,,,2,7,30,8.57
PLY_0592,Bowler,IPL_T20_GL,4,9,16,9,56.25,2,13.1,50,7.59
PLY_0592,Bowler,IPL_T20_KKR,4,5,4,5,125,4,10.4,27.5,10.31
PLY_0592,Bowler,IPL_T20_MI,4,,,,,2,14,47,6.71
PLY_0592,Bowler,IPL_T20_PBKS,4,4,6,4,66.67,7,10,12.71,8.9
PLY_0592,Bowler,IPL_T20_RPS,2,14,12,14,116.67,2,8,29.5,7.38
PLY_0592,Bowler,IPL_T20_RR,1,,,,,2,4,10,5
PLY_0592,Bowler,IPL_T20_SRH,2,0,2,0,0,2,7,33,9.43
PLY_0597,Batter,IPL_T20_CSK,6,148,146,29.6,101.37,,,,
PLY_0597,Batter,IPL_T20_DC,5,123,94,24.6,130.85,,,,
PLY_0597,Batter,IPL_T20_GL,4,153,90,38.25,170,,,,
