player_id,player_name,from_team_id,to_team_id,season
PLY_0617,Tabraiz Shamsi,IPL_T20_RCB,IPL_T20_RR,2021
PLY_0619,Tanush Kotian,,IPL_T20_RR,2024
PLY_0624,Thisara Perera,,IPL_T20_PBKS,2015
PLY_0624,Thisara Perera,IPL_T20_PBKS,IPL_T20_RPS,2016
PLY_0625,Tilak Varma,,IPL_T20_MI,2022
PLY_0627,Tim David,,IPL_T20_RCB,2021
PLY_0627,Tim David,IPL_T20_RCB,IPL_T20_MI,2022
PLY_0627,Tim David,IPL_T20_MI,IPL_T20_RCB,2025
PLY_0629,Tim Seifert,,IPL_T20_KKR,2021
PLY_0629,Tim Seifert,IPL_T20_KKR,IPL_T20_DC,2022
PLY_0629,Tim Seifert,IPL_T20_DC,IPL_T20_RCB,2025
PLY_0629,Tim Seifert,IPL_T20_RCB,IPL_T20_KKR,2026
PLY_0630,Tim Southee,,IPL_T20_CSK,2011
PLY_0630,Tim Southee,IPL_T20_CSK,IPL_T20_RR,2014
PLY_0630,Tim Southee,IPL_T20_RR,IPL_T20_MI,2016
PLY_0630,Tim Southee,IPL_T20_MI,IPL_T20_RCB,2018
PLY_0630,Tim Southee,IPL_T20_RCB,IPL_T20_KKR,2021
PLY_0631,Tirumalasetti Suman,,IPL_T20_SRH,2009
PLY_0631,Tirumalasetti Suman,IPL_T20_SRH,IPL_T20_MI,2011
PLY_0631,Tirumalasetti Suman,IPL_T20_MI,IPL_T20_PW,2013
PLY_0631,Tirumalasetti Suman,IPL_T20_PW,IPL_T20_SRH,2016
PLY_0632,Tom Banton,,IPL_T20_KKR,2020
PLY_0632,Tom Banton,IPL_T20_KKR,IPL_T20_GT,2026
PLY_0633,Tom Curran,,IPL_T20_KKR,2018
PLY_0633,Tom Curran,IPL_T20_KKR,IPL_T20_RR,2020
PLY_0633,Tom Curran,IPL_T20_RR,IPL_T20_DC,2021
PLY_0633,Tom Curran,IPL_T20_DC,IPL_T20_RCB,2024
PLY_0634,Tom Kohler- Cadmore,,IPL_T20_RR,2024
PLY_0636,Travis Head,,IPL_T20_DC,2015
PLY_0636,Travis Head,IPL_T20_DC,IPL_T20_RCB,2016
PLY_0636,Travis Head,IPL_T20_RCB,IPL_T20_SRH,2024
PLY_0637,Trent Boult,,IPL_T20_SRH,2015
PLY_0637,Trent Boult,IPL_T20_SRH,IPL_T20_KKR,2017
PLY_0637,Trent Boult,IPL_T20_KKR,IPL_T20_DC,2018
PLY_0637,Trent Boult,IPL_T20_DC,IPL_T20_MI,2020
PLY_0637,Trent Boult,IPL_T20_MI,IPL_T20_RR,2022
PLY_0637,Trent Boult,IPL_T20_RR,IPL_T20_MI,2025
PLY_0638,Tristan Stubbs,,IPL_T20_MI,2022
PLY_0638,Tristan Stubbs,IPL_T20_MI,IPL_T20_DC,2024
PLY_0639,Tushar Deshpande,,IPL_T20_DC,2020
PLY_0639,Tushar Deshpande,IPL_T20_DC,IPL_T20_CSK,2022
PLY_0639,Tushar Deshpande,IPL_T20_CSK,IPL_T20_RR,2025
PLY_0640,Tymal Mills,,IPL_T20_RCB,2017
PLY_0640,Tymal Mills,IPL_T20_RCB,IPL_T20_MI,2022
PLY_0644,Umesh Yadav,,IPL_T20_DC,2009
PLY_0644,Umesh Yadav,IPL_T20_DC,IPL_T20_KKR,2014
PLY_0644,Umesh Yadav,IPL_T20_KKR,IPL_T20_RCB,2018
PLY_0644,Umesh Yadav,IPL_T20_RCB,IPL_T20_DC,2021
PLY_0644,Umesh Yadav,IPL_T20_DC,IPL_T20_KKR,2022
PLY_0644,Umesh Yadav,IPL_T20_KKR,IPL_T20_GT,2024
PLY_0645,Umran Malik,,IPL_T20_SRH,2021
PLY_0645,Umran Malik,IPL_T20_SRH,IPL_T20_KKR,2026
PLY_0646,Unmukt Chand,,IPL_T20_DC,2011
PLY_0646,Unmukt Chand,IPL_T20_DC,IPL_T20_RR,2014
PLY_0646,Unmukt Chand,IPL_T20_RR,IPL_T20_MI,2015
PLY_0647,Urvil Patel,,IPL_T20_GT,2023
PLY_0647,Urvil Patel,IPL_T20_GT,IPL_T20_CSK,2025
PLY_0648,Usman Khawaja,,IPL_T20_RPS,2016
PLY_0651,Vaibhav Arora,,IPL_T20_KKR,2021
PLY_0651,Vaibhav Arora,IPL_T20_KKR,IPL_T20_PBKS,2022
PLY_0651,Vaibhav Arora,IPL_T20_PBKS,IPL_T20_KKR,2023
PLY_0652,Vaibhav Suryavanshi,,IPL_T20_RR,2025
PLY_0653,Varun Aaron,,IPL_T20_DC,2011
PLY_0653,Varun Aaron,IPL_T20_DC,IPL_T20_RCB,2014
PLY_0653,Varun Aaron,IPL_T20_RCB,IPL_T20_PBKS,2017
PLY_0653,Varun Aaron,IPL_T20_PBKS,IPL_T20_RR,2019
PLY_0653,Varun Aaron,IPL_T20_RR,IPL_T20_GT,2022
PLY_0654,Varun Chakaravarthy,,IPL_T20_PBKS,2019
PLY_0654,Varun Chakaravarthy,IPL_T20_PBKS,IPL_T20_KKR,2020
