player_id,player_name,nationality,batting_style,bowling_style,role,is_overseas,current_team_id,photo_url
PLY_0235,Ishant Sharma,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_GT,https://scores.iplt20.com/ipl/playerimages/Ishant%20Sharma.png
PLY_0331,Luke Wood,Overseas,Left-hand,Left-arm fast,Bowler,1,IPL_T20_GT,https://scores.iplt20.com/ipl/playerimages/Luke%20Wood.png
PLY_0258,Jayant Yadav,India,Right-hand,Right-arm off-spin,Bowler,0,IPL_T20_GT,https://scores.iplt20.com/ipl/playerimages/Jayant%20Yadav.png
PLY_0028,Ajinkya Rahane,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Ajinkya%20Rahane.png
PLY_0493,Rinku Singh,India,Left-hand,Right-arm off-spin,Batter,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Rinku%20Singh.png
PLY_0712,Finn Allen,Overseas,Right-hand,,Batter,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Finn%20Allen.png
PLY_0713,Tejasvi Dahiya,India,Right-hand,,Wicketkeeper,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Tejasvi%20Dahiya.png
PLY_0344,Manish Pandey,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Manish%20Pandey.png
PLY_0509,Rovman Powell,Overseas,Right-hand,Right-arm medium,Batter,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Rovman%20Powell.png
PLY_0055,Angkrish Raghuvanshi,India,Right-hand,,Batter,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Angkrish%20Raghuvanshi.png
PLY_0475,Ramandeep Singh,India,Right-hand,Right-arm medium,Batter,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Ramandeep%20Singh.png
PLY_0714,Tejasvi Dahiya,India,Right-hand,,Batter,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Tejasvi%20Dahiya.png
PLY_0629,Tim Seifert,Overseas,Right-hand,,Wicketkeeper,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Tim%20Seifert.png
PLY_0467,Rahul Tripathi,India,Right-hand,,Batter,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tripathi.png
PLY_0120,Cameron Green,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Cameron%20Green.png
PLY_0604,Sunil Narine,Overseas,Left-hand,Right-arm off-spin,Allrounder,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png
